Month,Mobile > 3hr/day,Outside > 2hr/day,Desktop > 1hr/day,Console > 2hr/day,BQMobile,BQOutside,BQDesktop,BQConsole
70,280.894677326368,-105.699495533013,-29.649675063185,32.8180368561671,1,1,0,1
71,268.853817804174,-115.125156806049,8.41863417990668,-31.4382525074803,1,1,1,0
72,252.61238219334,-126.710820920213,4.95928865257345,-25.1279894336135,1,0,1,0
73,282.816365912942,-115.129168965975,-3.40897822113553,-11.6031588360139,1,1,1,0
74,276.297163401218,-121.877917230468,6.03158081127966,-27.4565910210411,1,0,1,0
75,330.296210700365,-98.3890204712239,12.414466997667,-38.5136111298007,1,1,1,0
76,291.629984130105,-121.158576187256,-3.91829997107248,-11.7230494293784,1,0,1,0
77,320.236961037761,-110.362467258911,12.2164578328764,-38.7242400398088,1,1,1,0
78,295.297914702972,-126.590355521978,-10.8706629565488,-0.325005130363198,1,0,0,1
79,321.182033666141,-116.778731845895,-10.1371727117635,-2.0923306962634,1,1,0,1
80,299.831231977123,-131.361490359859,-5.56968791291019,-9.71182221172006,1,0,1,0
81,335.508996395284,-116.882795316721,-0.657489862556525,-17.8647600285537,1,0,1,0
82,340.25390777229,-118.177634362722,-4.83685189654582,-11.583573941634,1,1,1,0
83,328.095939722507,-127.665730256028,2.44545087503984,-23.753816564736,1,0,1,0
84,307.454619041018,-141.407754950067,-2.73803529388108,-15.2346229807052,1,0,1,0
85,327.691919775787,-134.929375881941,-13.2971661278537,1.89151809781061,1,0,0,1
86,309.404601746445,-147.277839729817,25.7797466597999,-63.1577753481643,1,0,1,0
87,340.810686799995,-135.304402739239,-27.9094890396493,25.8664895462784,1,0,0,1
88,324.017238396556,-147.06358191489,-10.3091226262399,-3.68141046443286,1,0,0,1
89,376.92724752243,-124.370355361454,-7.65064402012783,-8.61816342296682,1,0,1,1
90,354.792426077988,-138.902808270704,1.79369049177137,-24.5308657235311,1,0,1,0
91,331.600070034682,-153.913699370448,-25.6692510807605,21.1966812763219,1,0,0,1
92,336.563886519016,-155.092283167853,18.3681453436696,-52.3537986545463,1,0,1,0
93,394.593496734281,-129.481756359998,-4.89725485038705,-14.0727999744986,1,0,1,0
94,353.138135682832,-153.680814663955,-22.3655650546689,14.7175011377804,1,0,0,0
95,389.428823197387,-139.031234860653,4.34638980641075,-29.5139086554399,1,0,1,0
96,392.434695115255,-140.874108135827,-62.3036326565069,-37.1713018382043,1,0,1,0
97,391.403629014359,-145.024499566559,-81.8081367802592,-5.55871014557847,1,0,0,1
98,366.367758787594,-161.06284574505,-77.1055956523283,-15.1545529191739,1,0,0,0
99,410.545677711089,-142.55326178592,-83.0008009711151,6.68910930091226,1,0,0,1
